movieId,genres,cute,nudity,sad,scary,violent,rating,Title,year
1,Adventure|Animation|Children|Comedy|Fantasy,5.0,0.0,0.0,2.0,0.0,3.89,Toy Story,1995
2,Adventure|Children|Fantasy,2.0,0.0,0.0,4.0,0.0,3.25,Jumanji,1995
3,Comedy|Romance,0.0,0.0,0.0,0.0,0.0,3.17,Grumpier Old Men,1995
4,Comedy|Drama|Romance,0.0,0.0,0.0,0.0,0.0,2.87,Waiting to Exhale,1995
5,Comedy,3.0,0.0,0.0,0.0,0.0,3.08,Father of the Bride Part II,1995
6,Action|Crime|Thriller,0.0,0.0,0.0,0.0,5.0,3.84,Heat,1995
7,Comedy|Romance,2.0,0.0,0.0,0.0,0.0,3.37,Sabrina,1995
8,Adventure|Children,2.0,0.0,0.0,0.0,0.0,3.12,Tom and Huck,1995
9,Action,0.0,0.0,0.0,0.0,0.0,3.01,Sudden Death,1995
10,Action|Adventure|Thriller,0.0,0.0,0.0,0.0,0.0,3.43,GoldenEye,1995
11,Comedy|Drama|Romance,3.0,0.0,0.0,0.0,0.0,3.66,"American President, The",1995
12,Comedy|Horror,0.0,0.0,0.0,0.0,0.0,2.67,Dracula: Dead and Loving It,1995
13,Adventure|Animation|Children,3.0,0.0,0.0,0.0,0.0,3.34,Balto,1995
14,Drama,0.0,0.0,0.0,0.0,2.0,3.43,Nixon,1995
15,Action|Adventure|Romance,0.0,0.0,0.0,0.0,0.0,2.73,Cutthroat Island,1995
16,Crime|Drama,0.0,2.0,0.0,2.0,5.0,3.8,Casino,1995
17,Drama|Romance,0.0,0.0,0.0,0.0,0.0,3.95,Sense and Sensibility,1995
18,Comedy,0.0,0.0,0.0,0.0,2.0,3.41,Four Rooms,1995
19,Comedy,0.0,0.0,0.0,0.0,0.0,2.64,Ace Ventura: When Nature Calls,1995
20,Action|Comedy|Crime|Drama|Thriller,0.0,0.0,0.0,0.0,0.0,2.89,Money Train,1995
21,Comedy|Crime|Thriller,0.0,0.0,0.0,0.0,3.0,3.57,Get Shorty,1995
22,Crime|Drama|Horror|Mystery|Thriller,0.0,0.0,0.0,2.0,2.0,3.3,Copycat,1995
23,Action|Crime|Thriller,0.0,0.0,0.0,0.0,2.0,3.16,Assassins,1995
24,Drama|Sci-Fi,0.0,0.0,3.0,0.0,0.0,3.18,Powder,1995
25,Drama|Romance,0.0,0.0,4.0,0.0,4.0,3.67,Leaving Las Vegas,1995
26,Drama,0.0,0.0,0.0,0.0,2.0,3.61,Othello,1995
27,Children|Drama,3.0,0.0,0.0,0.0,0.0,3.43,Now and Then,1995
28,Drama|Romance,0.0,0.0,0.0,0.0,0.0,4.04,Persuasion,1995
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.0,0.0,0.0,0.0,2.0,3.92,"City of Lost Children, The","Cité des enfants perdus, La) (1995"
30,Crime|Drama,0.0,0.0,0.0,0.0,2.0,3.64,Shanghai Triad,Yao a yao yao dao waipo qiao) (1995
31,Drama,0.0,0.0,2.0,0.0,0.0,3.24,Dangerous Minds,1995
32,Mystery|Sci-Fi|Thriller,0.0,0.0,0.0,0.0,2.0,3.89,Twelve Monkeys,a.k.a. 12 Monkeys) (1995
33,Adventure|Romance|IMAX,0.0,0.0,0.0,0.0,0.0,3.06,Wings of Courage,1995
34,Children|Drama,5.0,0.0,0.0,0.0,0.0,3.61,Babe,1995
